año_comercial,tramo_según_ventas_5_tramos,región_del_domicilio_o_casa_matriz,número_de_empresas,ventas_anuales_en_uf,número_de_trabajadores_dependientes_informados,renta_neta_informada_en_uf,trabajadores_ponderados_por_meses_trabajados,número_de_trabajadores_dependientes_de_género_femenino_informados,trabajadores_de_género_femenino,trabajadores_de_género_femenino_ponderados_por_meses_trabajados,número_de_trabajadores_dependientes_de_género_masculino_informados,renta_neta_informada_en_uf_trabajadores_de_género_masculino,trabajadores_de_género_masculino_ponderados_por_meses_trabajados,número_de_trabajadores_a_honorarios_informados,honorarios_pagados_informados_en_uf,trabajadores_a_honorarios_ponderados_por_meses_trabajados,número_de_trabajadores_a_honorarios_de_género_femenino_informados,honorarios_pagados_informados_a_trabajadores_de_género_femenino_en_uf,trabajadores_a_honorarios_de_género_femenino_ponderados_por_meses_trabajados,número_de_trabajadores_a_honorarios_de_género_masculino_informados,honorarios_pagados_informados_a_trabajadores_de_género_masculino_en_uf,trabajadores_a_honorarios_de_género_masculino_ponderados_por_meses_trabajados
2005,Sin Ventas/Sin Información,Sin Información,2720,0,928,130470.932655176,719.583176851,313,60077.445698575,251.9999482941,615,70393.488390944,467.5832253109,527,18300.19007705111,0.0,247,6823.0041042742,0.0,280,11385.0171406544,0.0
2005,Sin Ventas/Sin Información,Región de Tarapacá,1857,0,3221,631087.461676295,2430.8328614608,1577,321114.1156016742,1277.3331540757,1639,309719.5392665213,1151.4997226311,1520,109893.7272510411,0.0,641,39579.8967483704,0.0,879,70099.3468780796,0.0
2005,Sin Ventas/Sin Información,Región de Antofagasta,3874,0,6051,1352437.214750557,5033.3327054628,3437,735566.8867955606,2926.5829715501,2609,616675.7401192364,2106.3330438732,2407,185298.0893663488,0.0,1007,61916.7978392684,0.0,1400,123230.856138982,0.0
2005,Sin Ventas/Sin Información,Región de Atacama,2233,0,1861,294669.088185004,1386.9996794674,925,159574.7306305909,719.0831960458,935,135094.356166317,667.9165101062,1121,54299.1497478473,0.0,513,22808.3872802205,0.0,608,31490.7616966656,0.0
2005,Sin Ventas/Sin Información,Región de Coquimbo,5025,0,7721,1748722.691593556,6081.3323911145,3839,844479.7346300244,3174.6662661836,3875,903689.287659767,2902.9994191186,3037,218320.5588400557,0.0,1416,94768.3785621687,0.0,1621,123475.6695719823,0.0
2005,Sin Ventas/Sin Información,Región de Valparaíso,15401,0,52590,11777814.10571924,45734.0791092091,16103,3718098.94887237,13911.9985605145,36463,8054956.703037694,31815.0799226773,11601,875991.4567573726,0.0,4903,325156.14699796,0.0,6698,549183.6031727844,0.0
2005,Sin Ventas/Sin Información,Región del Libertador Gral. Bernardo O’Higgins,6459,0,9090,1433923.411705445,6904.6653062189,4569,816290.4378370191,3743.9994787586,4511,616647.6992972145,3154.2492310484,3362,192267.7288118108,0.0,1350,65051.4776897833,0.0,2012,126908.8898578805,0.0
2005,Sin Ventas/Sin Información,Región del Maule,8810,0,22007,4375863.233474127,18287.9143570282,12305,2594680.061015548,10624.8322690426,9663,1780039.19772634,7658.4988146886,4913,243508.5156226233,0.0,2148,90733.8720117937,0.0,2765,152587.4235006622,0.0
2005,Sin Ventas/Sin Información,Región del Biobío,10310,0,35942,7639259.814310817,29963.4963410061,21773,4640215.899460432,18469.3310452744,14156,2994184.204474155,11484.9150332785,10688,623995.7216618317,0.0,5257,291608.6626570617,0.0,5431,332117.6544568766,0.0
2005,Sin Ventas/Sin Información,Región de La Araucanía,6443,0,9519,1913974.211912144,7725.3322084706,4951,1042287.230177387,4173.9162025605,4563,870697.6037459328,3547.2493611791,4317,250276.2817087187,0.0,1642,86004.3159067262,0.0,2675,164120.6835179967,0.0
